LEANumber,SchoolNumber,SORXREF_DESC,SORXREF_EDI_VALUE,SORXREF_BANNER_VALUE,SORXREF_XLBL_CODE,SORXREF_EDI_STANDARD_IND,SORXREF_DISP_WEB_IND,SORXREF_PESC_XML_IND,SORXREF_ACTIVITY_DATE
83,700,ACADEMY FOR MATH ENGINEERING & SCIENCE (AMES),83-700,450360,STVSBGI,Y,N,N,4/13/2017
42,702,ALTA HIGH,42-702,450402,STVSBGI,Y,N,N,4/13/2017
08,704,ALTAMONT HIGH,08-704,450000,STVSBGI,Y,N,N,4/13/2017
01,704,AMERICAN FORK HIGH,01-704,450005,STVSBGI,Y,N,N,4/13/2017
1J,800,AMERICAN INTERNATIONAL SCHOOL OF UTAH,1J-800,450223,STVSBGI,Y,N,N,4/13/2017
8B,100,AMERICAN LEADERSHIP ACADEMY,8B-100,AH0008,STVSBGI,Y,N,N,4/13/2017
74,110,AMERICAN PREPARATORY ACADEMY - ACCELERATED SCHOOL,74-110,AH0028,STVSBGI,Y,N,N,4/13/2017
74,700,AMERICAN PREPARATORY ACADEMY - DRAPER #3,74-700,450007,STVSBGI,Y,N,N,4/13/2017
31,750,ASHLEY VALLEY EDUC CTR,31-750,AH0017,STVSBGI,Y,N,N,4/13/2017
4K,300,ATHENIAN eACADEMY,4K-300,450074,STVSBGI,Y,N,N,4/13/2017
03,704,BEAR RIVER HIGH,03-704,450430,STVSBGI,Y,N,N,4/13/2017
02,704,BEAVER HIGH,02-704,450010,STVSBGI,Y,N,N,4/13/2017
3B,700,BEEHIVE SCIENCE & TECHNOLOGY ACADEMY (BSTA),3B-700,450401,STVSBGI,Y,N,N,4/13/2017
37,703,BEN LOMOND HIGH,37-703,450245,STVSBGI,Y,N,N,4/13/2017
16,712,BIG WATER HIGH,16-712,450018,STVSBGI,Y,N,N,4/13/2017
14,704,BINGHAM HIGH,14-704,450020,STVSBGI,Y,N,N,4/13/2017
41,211,BLIND REGION 2,41-211,,STVSBGI,Y,N,N,4/13/2017
30,740,BLUE PEAK HIGH,30-740,991060,STVSBGI,Y,N,N,4/13/2017
35,701,BONNEVILLE HIGH,35-701,450247,STVSBGI,Y,N,N,4/13/2017
07,704,BOUNTIFUL HIGH,07-704,450030,STVSBGI,Y,N,N,4/13/2017
03,708,BOX ELDER HIGH,03-708,450035,STVSBGI,Y,N,N,4/13/2017
19,650,BRIDGES NEBO TRANSITION CENTER,19-650,,STVSBGI,Y,N,N,4/13/2017
