LEANumber,SchoolNumber,SORXREF_DESC,SORXREF_EDI_VALUE,SORXREF_BANNER_VALUE,SORXREF_XLBL_CODE,SORXREF_EDI_STANDARD_IND,SORXREF_DISP_WEB_IND,SORXREF_PESC_XML_IND,SORXREF_ACTIVITY_DATE
01,704,AMERICAN FORK HIGH,01-704,,STVSBGI,Y,N,N,
01,840,DAN W. PETERSON,01-840,,STVSBGI,Y,N,N,
01,790,EAST SHORE ONLINE,01-790,,STVSBGI,Y,N,N,
01,808,HORIZON SCHOOL,01-808,,STVSBGI,Y,N,N,
01,708,LEHI HIGH,01-708,,STVSBGI,Y,N,N,
01,709,LONE PEAK HIGH,01-709,,STVSBGI,Y,N,N,
01,711,MOUNTAIN VIEW HIGH,01-711,,STVSBGI,Y,N,N,
01,712,OREM HIGH,01-712,,STVSBGI,Y,N,N,
01,716,PLEASANT GROVE HIGH,01-716,,STVSBGI,Y,N,N,
01,782,POLARIS HIGH SCHOOL,01-782,,STVSBGI,Y,N,N,
01,785,SKYRIDGE HIGH SCHOOL,01-785,,STVSBGI,Y,N,N,
01,730,SUMMIT HIGH,01-730,,STVSBGI,Y,N,N,
01,718,TIMPANOGOS HIGH,01-718,,STVSBGI,Y,N,N,
01,789,WESTLAKE HIGH,01-789,,STVSBGI,Y,N,N,
02,704,BEAVER HIGH,02-704,,STVSBGI,Y,N,N,
02,708,MILFORD HIGH,02-708,,STVSBGI,Y,N,N,
03,704,BEAR RIVER HIGH,03-704,,STVSBGI,Y,N,N,
03,708,BOX ELDER HIGH,03-708,,STVSBGI,Y,N,N,
03,778,DALE YOUNG COMMUNITY HIGH,03-778,,STVSBGI,Y,N,N,
04,710,CACHE HIGH,04-710,,STVSBGI,Y,N,N,
04,702,MOUNTAIN CREST HIGH,04-702,,STVSBGI,Y,N,N,
04,705,RIDGELINE HIGH SCHOOL,04-705,,STVSBGI,Y,N,N,
04,706,SKY VIEW HIGH,04-706,,STVSBGI,Y,N,N,
04,610,SPECIAL SERVICES,04-610,,STVSBGI,Y,N,N,
05,704,CARBON HIGH,05-704,,STVSBGI,Y,N,N,
05,801,CASTLE VALLEY CENTER,05-801,,STVSBGI,Y,N,N,
05,760,LIGHTHOUSE HIGH,05-760,,STVSBGI,Y,N,N,
06,704,MANILA HIGH,06-704,,STVSBGI,Y,N,N,
07,704,BOUNTIFUL HIGH,07-704,,STVSBGI,Y,N,N,
07,706,CLEARFIELD HIGH,07-706,,STVSBGI,Y,N,N,
07,708,DAVIS HIGH,07-708,,STVSBGI,Y,N,N,
